#Assay	Accession	SRA Accession	Replicate	Sample ID	Yeast Target Common Name
ChIP-exo	GSM4450099	SRX8043218	rep1	11748	Spt4
ChIP-exo	GSM4450100	SRX8043219	rep2	15181	Spt4
ChIP-exo	GSM4450101	SRX8043220	rep1	12835	Spt5
ChIP-exo	GSM4450102	SRX8043221	rep2	15787	Spt5
ChIP-exo	GSM4450103	SRX8043222	rep1	15219	Spt6
ChIP-exo	GSM4450104	SRX8043223	rep2	15664	Spt6
ChIP-exo	GSM4450105	SRX8043224	rep1	11960	Spt7
ChIP-exo	GSM4450106	SRX8043225	rep2	11961	Spt7
ChIP-exo	GSM4450107	SRX8043226	rep3	14638	Spt7
ChIP-exo	GSM4450108	SRX8043227	rep4	18475	Spt7
ChIP-exo	GSM4450109	SRX8043228	rep5	20004	Spt7
ChIP-exo	GSM4450110	SRX8043229	rep6	20115	Spt7
ChIP-exo	GSM4450111	SRX8043230	rep1	11866	Spt8
ChIP-exo	GSM4450112	SRX8043231	rep2	13800	Spt8
ChIP-exo	GSM4450113	SRX8043280	rep1	14416	Srb2
ChIP-exo	GSM4450114	SRX8043281	rep1	12050	Srb4
ChIP-exo	GSM4450115	SRX8043282	rep2	13816	Srb4
ChIP-exo	GSM4450116	SRX8043283	rep1	13156	Srb5
ChIP-exo	GSM4450117	SRX8043284	rep2	17879	Srb5
ChIP-exo	GSM4450118	SRX8043285	rep1	16036	Srb6
ChIP-exo	GSM4450119	SRX8043286	rep2	18470	Srb6
ChIP-exo	GSM4450120	SRX8043287	rep1	11879	Srb8
ChIP-exo	GSM4450121	SRX8043288	rep1	17948	Srd1
ChIP-exo	GSM4450122	SRX8043289	rep1	11894	Srm1
ChIP-exo	GSM4450123	SRX8043290	rep1	13481	Ssa1
ChIP-exo	GSM4450124	SRX8043291	rep1	15215	Ssl1
ChIP-exo	GSM4450125	SRX8043292	rep2	15477	Ssl1
ChIP-exo	GSM4450126	SRX8043293	rep1	11747	Ssl2
ChIP-exo	GSM4450127	SRX8043294	rep2	15253	Ssl2
ChIP-exo	GSM4450128	SRX8043295	rep1	11880	Ssn2
ChIP-exo	GSM4450129	SRX8043296	rep2	14262	Ssn2
ChIP-exo	GSM4450130	SRX8043297	rep1	14835	Ssn3
ChIP-exo	GSM4450131	SRX8043298	rep1	11881	Ssn8
ChIP-exo	GSM4450132	SRX8043299	rep2	17787	Ssn8
ChIP-exo	GSM4450133	SRX8043300	rep1	14783	Stb1
ChIP-exo	GSM4450134	SRX8043301	rep1	17149	Stb2
ChIP-exo	GSM4450135	SRX8043302	rep1	12431	Stb3
ChIP-exo	GSM4450136	SRX8043303	rep2	17886	Stb3
ChIP-exo	GSM4450137	SRX8043328	rep1	11910	Stb4
ChIP-exo	GSM4450138	SRX8043329	rep2	18503	Stb4
ChIP-exo	GSM4450139	SRX8043330	rep1	11918	Stb5
ChIP-exo	GSM4450140	SRX8043331	rep2	14182	Stb5
